id,user_id,top_id,song_id,position,inserted_at,updated_at
05db685a-a2e2-46f2-99f0-50c22fb072fe,aaf6c7c2-e4cf-49ac-a5f9-2cf7fdce1297,a498014a-225e-41c8-82ff-25814486f808,8a1ab8a7-000b-4e6f-95f0-7aa1da4b7aa6,1,2016-11-13 09:29:23.48941,2016-11-13 09:29:23.48941
64191543-982e-45c3-8239-0f5c8ac75304,aaf6c7c2-e4cf-49ac-a5f9-2cf7fdce1297,a498014a-225e-41c8-82ff-25814486f808,4565224b-6af5-49d6-a069-ff749fddfedf,2,2016-11-13 09:29:23.496815,2016-11-13 09:29:23.496815
6b212131-0122-41ef-ab9d-862df56ec166,aaf6c7c2-e4cf-49ac-a5f9-2cf7fdce1297,a498014a-225e-41c8-82ff-25814486f808,d94a4d82-e996-4c86-9cce-f2bcddb280ab,3,2016-11-13 09:29:23.50216,2016-11-13 09:29:23.50216
ad5e7c34-f03c-4152-a8c0-210a892d663c,aaf6c7c2-e4cf-49ac-a5f9-2cf7fdce1297,a498014a-225e-41c8-82ff-25814486f808,ff438613-c5ab-48fe-8096-69224297edd5,4,2016-11-13 09:29:23.514118,2016-11-13 09:29:23.514118
5aafda3f-c71f-48d5-b570-de6f74ae19c4,aaf6c7c2-e4cf-49ac-a5f9-2cf7fdce1297,a498014a-225e-41c8-82ff-25814486f808,b74662c8-fa93-43c1-9145-44a8af425e0c,5,2016-11-13 09:29:23.519199,2016-11-13 09:29:23.519199
e9a4a8b0-cf7b-4c81-8796-06f13f4afa0a,aaf6c7c2-e4cf-49ac-a5f9-2cf7fdce1297,a498014a-225e-41c8-82ff-25814486f808,fe2252ac-87cc-40f4-a42f-9add678e2b56,6,2016-11-13 09:29:23.523837,2016-11-13 09:29:23.523837
da48e3c4-ee02-49d3-8a67-500d4c3c947b,aaf6c7c2-e4cf-49ac-a5f9-2cf7fdce1297,a498014a-225e-41c8-82ff-25814486f808,cd152007-14a0-4ec0-ae42-d2d096552270,7,2016-11-13 09:29:23.52862,2016-11-13 09:29:23.52862
c0247911-8e36-4fc1-abcc-e4dfd8eef5f9,aaf6c7c2-e4cf-49ac-a5f9-2cf7fdce1297,a498014a-225e-41c8-82ff-25814486f808,ef0ed462-4725-4069-958a-31a0912bf017,8,2016-11-13 09:29:23.533248,2016-11-13 09:29:23.533248
a133853d-e402-4ba2-b1ae-0b956b1ff07a,aaf6c7c2-e4cf-49ac-a5f9-2cf7fdce1297,a498014a-225e-41c8-82ff-25814486f808,304101aa-c7d2-4a59-9f02-de94eafccdc9,9,2016-11-13 09:29:23.538393,2016-11-13 09:29:23.538393
b13f00fb-e49c-4bd1-adfd-d6ad0520cea5,aaf6c7c2-e4cf-49ac-a5f9-2cf7fdce1297,a498014a-225e-41c8-82ff-25814486f808,0b3f2062-c3f8-440e-a720-e21a223fb937,10,2016-11-13 09:29:23.54386,2016-11-13 09:29:23.54386
fc8e5001-4c65-485e-95b6-bd7cfe0ee048,14bab19c-fcdd-48a5-ac81-6355c284ba37,a498014a-225e-41c8-82ff-25814486f808,3cc89ed3-04fd-4e13-87f0-4a55219b2863,1,2016-11-20 08:46:03.01612,2016-11-20 08:46:03.01612
04dd40e2-d4d9-4e8b-9e8c-b81c0e1cc68c,14bab19c-fcdd-48a5-ac81-6355c284ba37,a498014a-225e-41c8-82ff-25814486f808,ef0ed462-4725-4069-958a-31a0912bf017,2,2016-11-20 08:46:03.07396,2016-11-20 08:46:03.07396
45b6d177-72a8-4c71-bc99-39f65d2c5f33,14bab19c-fcdd-48a5-ac81-6355c284ba37,a498014a-225e-41c8-82ff-25814486f808,cd152007-14a0-4ec0-ae42-d2d096552270,3,2016-11-20 08:46:03.110541,2016-11-20 08:46:03.110541
f3f9e2d5-1e1a-4d95-8f8f-242d9b8b69e6,14bab19c-fcdd-48a5-ac81-6355c284ba37,a498014a-225e-41c8-82ff-25814486f808,0b3f2062-c3f8-440e-a720-e21a223fb937,4,2016-11-20 08:46:03.167902,2016-11-20 08:46:03.167902
e6411d50-aaa6-45aa-87b6-a45909ae64d1,14bab19c-fcdd-48a5-ac81-6355c284ba37,a498014a-225e-41c8-82ff-25814486f808,8159ae46-8701-4f72-883d-f431755a0433,5,2016-11-20 08:46:03.209874,2016-11-20 08:46:03.209874
29252794-4aae-40d5-968a-13c29ef984f9,14bab19c-fcdd-48a5-ac81-6355c284ba37,a498014a-225e-41c8-82ff-25814486f808,66f07158-03fc-4b5c-bb59-1d69cfbf0757,6,2016-11-20 08:46:03.22114,2016-11-20 08:46:03.22114
